hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
601.2.1.3,alpha bundles,Four-helical up-and-down bundle,Cytochromes,Cytochromes,Flavodoxin_1
592.7.1.0,alpha arrays,PWI domain-like,GIPC1 GH2 domain,GIPC1 GH2 domain,NO_F_NAME
3887.1.1.4,a+b two layers,Yeast killer toxin-like,Yeast killer toxin-like,Yeast killer toxin-like,GBD_Y3
3504.4.1.1,beta barrels,MutM N-terminal domain-like,An uncharacterized protein,An uncharacterized protein,NGO_1070-like
5075.1.1.0,alpha bundles,Photosystem II antenna protein-like,Photosystem II antenna protein-like,Photosystem II antenna protein-like,NO_F_NAME
331.23.1.2,a+b two layers,TBP-like,Integrator IntS9/IntS11 C-terminal domain,Integrator IntS9/IntS11 C-terminal domain,IntS9_C
331.23.1.3,a+b two layers,TBP-like,Integrator IntS9/IntS11 C-terminal domain,Integrator IntS9/IntS11 C-terminal domain,IntS11_C
7512.1.1.35,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,Asp1
3894.1.1.1,beta meanders,O-GlcNAc transferase GtfA beta-meander domain,O-GlcNAc transferase GtfA beta-meander domain,O-GlcNAc transferase GtfA beta-meander domain,Asp1
10.32.1.170,beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,Sec-ASP3
221.1.1.77,a+b two layers,beta-Grasp,Ubiquitin-related,Ubiquitin-like,UCH_UBL1
375.10.1.2,few secondary structure elements,Rubredoxin-like,Zinc finger domain of DNA polymerase-alpha,Zinc finger domain of DNA polymerase-alpha,zf-DPOE
7516.1.1.19,a/b three-layered sandwiches,Nucleotide-diphospho-sugar transferases,Nucleotide-diphospho-sugar transferases,Nucleotide-diphospho-sugar transferases,MGAT2
242.2.1.1,a+b two layers,Homing endonucleases-like,tRNA-intron endonuclease N-terminal domain-like,tRNA-intron endonuclease N-terminal domain-like,DUF61
2004.1.1.4,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,"AAA,PRS7_OB"
70.5.1.0,beta barrels,beta-clip,Anti-CRISPR protein (AcrIIC1),Anti-CRISPR protein (AcrIIC1),NO_F_NAME
2.1.1.106,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,PRS7_OB
633.23.1.2,alpha bundles,Bromodomain-like,Claudin,Claudin,GSG-1
2486.1.1.10,a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,MdcE
2003.1.7.12,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NagB/RpiA/CoA transferase-like,Mal_decarbox_Al
212.1.1.19,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,ACP
54.1.2.1,beta barrels,EV matrix protein,EV matrix protein,Non-strctural protein 1,Pneumo_NS1
1198.1.1.0,alpha bundles,BTA121,BTA121,BTA121,NO_F_NAME
7514.1.1.0,a/b three-layered sandwiches,"Ferredoxin reductase-like, C-terminal NADP-linked domain","Ferredoxin reductase-like, C-terminal NADP-linked domain","Ferredoxin reductase-like, C-terminal NADP-linked domain",NO_F_NAME
1186.1.1.0,few secondary structure elements,Avirulence protein AvrP123,Avirulence protein AvrP123,Avirulence protein AvrP123,NO_F_NAME
1158.1.1.1,a+b complex topology,Arenavirus glycoprotein GP2,Arenavirus glycoprotein GP2,Arenavirus glycoprotein GP2,Arena_glycoprot
3081.1.1.1,a+b complex topology,Envelope glycoprotein GP1,Envelope glycoprotein GP1,Envelope glycoprotein GP1,Arena_glycoprot
1079.1.1.1,alpha complex topology,Transmembrane reductase CcdA,Transmembrane reductase CcdA,Transmembrane reductase CcdA,DsbD
3291.1.1.2,alpha bundles,Charged multivesicular body protein 3 (CHMP3)-related,Charged multivesicular body protein 3 (CHMP3)-related,Charged multivesicular body protein 3 (CHMP3)-related,"Snf7,CC2D1A-B_DM14"
1171.1.1.1,alpha arrays,beta-herpesvirus envelope glycoprotein L (gL) N-terminal domain,beta-herpesvirus envelope glycoprotein L (gL) N-terminal domain,beta-herpesvirus envelope glycoprotein L (gL) N-terminal domain,Cytomega_gL
1170.1.2.1,beta barrels,IL8-related,IL8-related,chemokine-related domain in glycoprotein L (gL),Cytomega_gL
1170.1.2.0,beta barrels,IL8-related,IL8-related,chemokine-related domain in glycoprotein L (gL),NO_F_NAME
1173.1.1.0,beta barrels,UL128 C-terminal domain,UL128 C-terminal domain,UL128 C-terminal domain,NO_F_NAME
1170.1.2.4,beta barrels,IL8-related,IL8-related,chemokine-related domain in glycoprotein L (gL),Gp_UL130
1172.1.1.1,beta barrels,UL131A-like,UL130 C-terminal domain,UL130 C-terminal domain,Gp_UL130
1172.2.1.0,beta barrels,UL131A-like,UL131A,UL131A,NO_F_NAME
105.1.1.4,alpha duplicates or obligate multimers,HLH-like,"HLH, helix-loop-helix DNA-binding domain","HLH, helix-loop-helix DNA-binding domain",bZIP_1
2007.12.1.0,a/b three-layered sandwiches,Flavodoxin-like,"Beta-D-glucan exohydrolase, C-terminal domain","Beta-D-glucan exohydrolase, C-terminal domain",NO_F_NAME
3602.1.1.0,alpha bundles,Kinase suppressor of Ras 1 helical hairpin domain,Kinase suppressor of Ras 1 helical hairpin domain,Kinase suppressor of Ras 1 helical hairpin domain,NO_F_NAME
1174.1.1.1,alpha complex topology,Potassium channel TMEM175,Potassium channel TMEM175,Potassium channel TMEM175,TMEM175
304.9.1.12,a+b two layers,Alpha-beta plaits,"RNA-binding domain, RBD","RNA-binding domain, RBD",NO_F_NAME
7017.1.1.1,beta meanders,beta-taco fold of TamB,beta-taco fold of TamB,beta-taco fold of TamB,TamB
330.17.1.0,a+b two layers,dsRBD-like,Anti-CRISPR protein AcrIIA4,Anti-CRISPR protein AcrIIA4,NO_F_NAME
9.1.1.21,beta barrels,Lipocalins/Streptavidin,Lipocalins,Lipocalins,Cyclin_D1_bind
2492.1.1.22,a+b three layers,Cytidine deaminase-like,Cytidine deaminase-like,Cytidine deaminase-like,NAD1
3804.1.1.0,alpha bundles,CRISPR-Cas system RNase C2c2 N-terminal domain,CRISPR-Cas system RNase C2c2 N-terminal domain,CRISPR-Cas system RNase C2c2 N-terminal domain,NO_F_NAME
4974.1.1.0,alpha bundles,CRISPR-Cas system first helical domain,CRISPR-Cas system first helical domain,CRISPR-Cas system RNase C2c2 first helical domain,NO_F_NAME
1149.1.1.0,alpha bundles,CRISPR-Cas system second helical domain,CRISPR-Cas system second helical domain,CRISPR-Cas system RNase C2c2 second helical domain,NO_F_NAME
2.1.1.66,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,CTC1
2492.1.1.20,a+b three layers,Cytidine deaminase-like,Cytidine deaminase-like,Cytidine deaminase-like,APOBEC3
7030.1.1.0,alpha superhelices,N-terminal domain of P-granule protein,N-terminal domain of P-granule protein,N-terminal domain of P-granule protein,NO_F_NAME
3856.1.2.0,beta sandwiches,Putative tailspike protein Orf210 N-terminal domain,Putative tailspike protein Orf210 N-terminal domain,tailspike protein Orf211 N-terminal domain,NO_F_NAME
4311.1.1.0,alpha complex topology,PMT central region-like,PMT central region-like,PMT central region-like,NO_F_NAME
198.1.1.6,alpha arrays,Saposin-like,Saposin-like,Saposin-like,Saposin
2007.5.1.2,a/b three-layered sandwiches,Flavodoxin-like,SGNH hydrolase,SGNH hydrolase,"Lipase_GDSL,Saposin"
3273.1.1.0,alpha arrays,Filamentous archaeal viruses coat proteins,Filamentous archaeal viruses coat proteins,Filamentous archaeal viruses coat proteins,NO_F_NAME
7012.1.1.1,a+b complex topology,Monotopic phosphoglycosyl transferase (PGT)-like,Monotopic phosphoglycosyl transferase (PGT)-like,Monotopic phosphoglycosyl transferase (PGT)-like,Bac_transf
7057.1.1.0,alpha duplicates or obligate multimers,N-terminal head domain of protein delta,N-terminal head domain of protein delta,N-terminal head domain of protein delta,NO_F_NAME
7058.1.1.0,beta duplicates or obligate multimers,beta-fiber domain of protein delta,beta-fiber domain of protein delta,beta-fiber domain of protein delta,NO_F_NAME
7512.1.1.9,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,LpxB
101.1.4.24,alpha arrays,HTH,HTH,"tetra-helical, lambda repressor-like",YdaS_toxin
304.159.1.0,a+b two layers,Alpha-beta plaits,Alpha-beta plait domain in NisB,Alpha-beta plait domain in NisB,NO_F_NAME
162.1.1.2,alpha bundles,"PTS-regulatory domain, PRD","PTS-regulatory domain, PRD","PTS-regulatory domain, PRD",PRD_Mga
2007.2.2.0,a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Phosphotyrosine protein phosphatases I-like,NO_F_NAME
2007.1.2.6,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Periplasmic binding protein-like I,Glyco_tran_WecG
7007.1.1.0,extended segments,TOR1 N-terminal extended segment,TOR1 N-terminal extended segment,TOR1 N-terminal extended segment,NO_F_NAME
327.13.1.0,a+b two layers,Alpha-lytic protease prodomain-like,Ring-building motif I in type III secretion system,Ring-building motif I in type III secretion system,NO_F_NAME
7512.1.1.22,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,A-2_8-polyST
554.1.1.0,alpha complex topology,Influenza virus matrix protein M1,Influenza virus matrix protein M1,Influenza virus matrix protein M1,NO_F_NAME
601.49.1.0,alpha bundles,Four-helical up-and-down bundle,Orthomyxovirus matrix protein M1 C-terminal domain,Orthomyxovirus matrix protein M1 C-terminal domain,NO_F_NAME
604.37.1.0,alpha bundles,Spectrin repeat-like,Legionella effector Lem22,Legionella effector Lem22,NO_F_NAME
109.4.1.200,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,TPR_14
883.1.1.0,a+b complex topology,Aha1/BPI domain-like,Aha1/BPI domain-like,Aha1/BPI domain-like,NO_F_NAME
3939.1.1.0,alpha duplicates or obligate multimers,XRCC4 C-terminal oligomerization domain,XRCC4 C-terminal oligomerization domain,XRCC4 C-terminal oligomerization domain,NO_F_NAME
386.1.1.21,few secondary structure elements,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,NO_F_NAME
2485.3.1.12,a+b three layers,Thioredoxin-like,Major capsid protein gp5,Major capsid protein gp5,DUF6260
109.54.1.0,alpha superhelices,Repetitive alpha hairpins,C-terminal tetramerization domain of Utp1/Utp21/Utp12/Utp13,C-terminal tetramerization domain of Utp1/Utp21/Utp12/Utp13,NO_F_NAME
10.32.1.91,beta sandwiches,jelly-roll,Latrophilin 1 gal_lectin domain,Latrophilin 1 gal_lectin domain,HpiC1-like
327.16.1.1,a+b two layers,Alpha-lytic protease prodomain-like,Ring-building motif II in type III secretion system,Ring-building motif II in type III secretion system,Secretin
3694.1.1.3,alpha bundles,Tail specific protease helical domain,Tail specific protease helical domain,Tail specific protease helical domain,TSP_NTD
2486.1.1.8,a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,"Peptidase_S41,DUF3340"
1146.1.1.0,few secondary structure elements,CRISPR-associated endonuclease C2c1 C-terminal domain,CRISPR-associated endonuclease C2c1 C-terminal domain,CRISPR-associated endonuclease C2c1 C-terminal domain,NO_F_NAME
1184.1.1.0,alpha arrays,Primosome protein DnaB middle domain,Primosome protein DnaB middle domain,Primosome protein DnaB middle domain,NO_F_NAME
3662.1.1.3,a+b two layers,Proteasome assembling chaperone 3 (PAC3)-related,Proteasome assembling chaperone 3 (PAC3)-related,Proteasome assembling chaperone 3 (PAC3)-related,PAC4
913.1.1.0,few secondary structure elements,"Hormone receptor domain (HRM, Pfam 02793)","Hormone receptor domain (HRM, Pfam 02793)","Hormone receptor domain (HRM, Pfam 02793)",NO_F_NAME
376.1.1.36,few secondary structure elements,RING/U-box-like,RING/U-box-like,RING/U-box,CoV_NSP13_ZBD
1.1.7.43,beta barrels,cradle loop barrel,RIFT-related,Alanine racemase-C,CoV_NSP13_1B
1168.1.1.1,alpha bundles,MERS-CoV helicase helical bundle domain,MERS-CoV helicase helical bundle domain,MERS-CoV helicase helical bundle domain,CoV_NSP13_stalk
304.15.1.3,a+b two layers,Alpha-beta plaits,Viral DNA-binding domain,Viral DNA-binding domain,Herpes_IE2_3
7512.1.1.26,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,EarP
3407.1.1.1,mixed a+b and a/b,Nop N-terminal domain,Nop N-terminal domain,Nop N-terminal domain,NOP5NT
109.4.1.79,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,Bystin
109.4.1.171,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,U3snoRNP10
2002.1.1.190,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DUF5696
2004.1.1.25,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,"SNF2-rel_dom,Helicase_C,SnAC"
1165.1.1.0,alpha complex topology,DotM cytosolic domain,DotM cytosolic domain,DotM cytosolic domain,NO_F_NAME
129.1.1.7,alpha arrays,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,NO_F_NAME
3819.1.1.0,alpha complex topology,CRISPR-associated endonuclease Cas9 alpha-helical lobe,CRISPR-associated endonuclease Cas9 alpha-helical lobe,CRISPR-associated endonuclease Cas9 alpha-helical lobe,NO_F_NAME
3820.1.1.4,a+b complex topology,CRISPR-associated endonuclease Cas9 C-terminal domain,CRISPR-associated endonuclease Cas9 C-terminal domain,CRISPR-associated endonuclease Cas9 C-terminal domain,CjCas9_PI_CTD
1003.1.1.2,a+b complex topology,CRISPR-associated endonuclease Cas9 wedge domain,CRISPR-associated endonuclease Cas9 wedge domain,CRISPR-associated endonuclease Cas9 wedge domain,CjCas9_WED-like
206.1.1.3,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase,NO_F_NAME
3597.1.1.0,beta sandwiches,Starch specific carbohydrate-binding modules,Starch specific carbohydrate-binding modules,Starch specific carbohydrate-binding modules,NO_F_NAME
1075.1.1.2,alpha bundles,Type II ABC exporter transmembrane domain fold,Type II ABC exporter transmembrane domain-related,ABCG5/ABCG8 transmembrane domain,LptF_LptG
3523.1.1.1,beta meanders,Periplasmic lipopolysaccharide transport protein LptA (YhbN),Periplasmic lipopolysaccharide transport protein LptA (YhbN),Periplasmic lipopolysaccharide transport protein LptA (YhbN),LptF_LptG
2003.1.5.63,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,S-adenosyl-L-methionine-dependent methyltransferases,CARME
192.30.1.1,alpha bundles,Long alpha-hairpin,SepCysE N-terminal domain,SepCysE N-terminal domain,DUF2100
2006.1.3.5,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Toprim domain,DUF2100
2004.7.1.0,a/b three-layered sandwiches,P-loop domains-like,VP4 N-terminal domain,VP4 N-terminal domain,NO_F_NAME
3436.1.1.0,alpha bundles,VP4 GT domain,VP4 GT domain,VP4 GT domain,NO_F_NAME
1164.1.1.0,a+b two layers,Hypothetical virulence protein,Hypothetical virulence protein,Hypothetical virulence protein,NO_F_NAME
1163.1.1.1,alpha arrays,IcmS,IcmS,IcmS,T4bSS_IcmS
1162.1.1.0,alpha arrays,IcmW,IcmW,IcmW,NO_F_NAME
7579.1.1.7,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,"Abhydrolase_1,PhaC_N"
4356.1.1.0,beta complex topology,Coronavirus nsp1,Coronavirus nsp1,Coronavirus nsp1,NO_F_NAME
11.1.1.101,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,"V-set,Mst1_SARAH"
220.4.1.0,beta barrels,PH domain-like,second barrel domain in viral glycoproteins,second barrel domain in viral glycoproteins,NO_F_NAME
3697.1.1.0,alpha bundles,NQO2 helical bundle domain,NQO2 helical bundle domain,NQO2 helical bundle domain,NO_F_NAME
205.1.1.10,a+b two layers,4Fe-4S ferredoxin,4Fe-4S ferredoxin,4Fe-4S ferredoxin,NO_F_NAME
7018.1.1.0,few secondary structure elements,gp76 helical domain,gp76 helical domain,gp76 helical domain,NO_F_NAME
1197.1.1.1,alpha bundles,Integral membrane glycerol 3-phosphate acyltransferase PlsY,Integral membrane glycerol 3-phosphate acyltransferase PlsY,Integral membrane glycerol 3-phosphate acyltransferase PlsY,G3P_acyltransf
601.2.1.1,alpha bundles,Four-helical up-and-down bundle,Cytochromes,Cytochromes,7tm_1
3364.1.1.2,few secondary structure elements,Epidermal patterning factor-like protein 9,Epidermal patterning factor-like protein 9,Epidermal patterning factor-like protein 9,EPF
1075.1.1.4,alpha bundles,Type II ABC exporter transmembrane domain fold,Type II ABC exporter transmembrane domain-related,ABCG5/ABCG8 transmembrane domain,ABC2_membrane_3
9.30.1.0,beta barrels,Lipocalins/Streptavidin,PknI kinase extracellular sensor domain,PknI kinase extracellular sensor domain,NO_F_NAME
221.1.1.61,a+b two layers,beta-Grasp,Ubiquitin-related,Ubiquitin-like,Kindlin_2_N
1.1.7.42,beta barrels,cradle loop barrel,RIFT-related,Alanine racemase-C,PcRGLX_1st
109.2.1.40,alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,PcRGLX_3rd
12.3.1.30,beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,PcRGLX_1st
12.3.1.33,beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,PcRGLX_2nd
633.33.1.1,alpha bundles,Bromodomain-like,Rogdi,Rogdi,Rogdi_lz
886.1.1.3,a+b duplicates or obligate multimers,Probable bacterial effector-binding domain,Probable bacterial effector-binding domain,Probable bacterial effector-binding domain,Cass2
10.2.1.50,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),NO_F_NAME
3774.1.1.0,extended segments,Fibroblast growth factor receptor 3 transmembrane domain,Fibroblast growth factor receptor 3 transmembrane domain,Fibroblast growth factor receptor 3 transmembrane domain,NO_F_NAME
9.29.1.1,beta barrels,Lipocalins/Streptavidin,VirK,VirK,VirK
325.1.7.8,a+b complex topology,alpha/beta-Hammerhead/Barrel-sandwich hybrid,alpha/beta-Hammerhead/Barrel-sandwich hybrid,Single hybrid motif,RnfC_N
1075.1.2.2,alpha bundles,Type II ABC exporter transmembrane domain fold,Type II ABC exporter transmembrane domain-related,MacB transmembrane domain,"FtsX,MacB_PCD"
601.4.1.3,alpha bundles,Four-helical up-and-down bundle,Histidine kinase associated sensor domains,Histidine kinase associated sensor domains,4HB_MCP_1
304.168.1.0,a+b two layers,Alpha-beta plaits,C-terminal domain of AcpS,C-terminal domain of AcpS,NO_F_NAME
310.4.1.1,a+b two layers,RRF/tRNA synthetase additional domain-like,PAL domain of ALFIN-like (AL) protein,PAL domain of ALFIN-like (AL) protein,Alfin
3319.1.1.0,extended segments,C-terminal helical region in 60S ribosomal protein L4 (L4p),C-terminal helical region in 60S ribosomal protein L4 (L4p),C-terminal helical region in 60S ribosomal protein L4 (L4p),NO_F_NAME
109.4.1.296,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,AimR
109.4.1.219,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,TINF2_N
292.2.1.0,a+b two layers,RIP/Polo-box domain,Polo-box domain,Polo-box domain,NO_F_NAME
1195.1.1.0,a+b complex topology,Suppressor of hydroxyurea sensitivity protein 2,Suppressor of hydroxyurea sensitivity protein 2,Suppressor of hydroxyurea sensitivity protein 2,NO_F_NAME
2005.1.1.25,a/b three-layered sandwiches,HUP domain-like,HUP domains,HUP domains,HIGH_NTase1
102.8.1.1,alpha arrays,HhH/H2TH,UPF0348 protein MJ0951 C-terminal domain,UPF0348 protein MJ0951 C-terminal domain,HIGH_NTase1
1187.1.1.1,beta complex topology,Phlebovirus glycoprotein Gn,Phlebovirus glycoprotein Gn,Phlebovirus glycoprotein Gn,Phlebovirus_G1
5.1.4.18,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,7-bladed,EPTP
109.4.1.107,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,NO_F_NAME
7005.1.1.0,a+b duplicates or obligate multimers,LUBAC-tethering domain,LUBAC-tethering domain,LUBAC-tethering domain,NO_F_NAME
60.1.2.1,beta barrels,SPOC domain-like,SPOC domain-related,Ku70/80 subunit middle domain,Ku
101.1.4.17,alpha arrays,HTH,HTH,"tetra-helical, lambda repressor-like",HTH_26
807.1.1.0,a+b two layers,Allophycocyanin linker chain (domain),Allophycocyanin linker chain (domain),Allophycocyanin linker chain (domain),NO_F_NAME
7003.1.1.0,a+b complex topology,N-terminal domain of the pestivirus NS5B protein,N-terminal domain of the pestivirus NS5B protein,N-terminal domain of the pestivirus NS5B protein,NO_F_NAME
3157.1.1.1,alpha arrays,Kinetoplastid membrane protein 11,Kinetoplastid membrane protein 11,Kinetoplastid membrane protein 11,KMP11
5059.1.1.3,alpha bundles,Drug/Metabolite transporter,Drug/Metabolite transporter,Drug/Metabolite transporter,TPT
7031.1.1.1,a+b complex topology,extracellular domain of BK channel beta4 subunit,extracellular domain of BK channel beta4 subunit,extracellular domain of BK channel beta4 subunit,CaKB
10.32.1.38,beta sandwiches,jelly-roll,Latrophilin 1 gal_lectin domain,Latrophilin 1 gal_lectin domain,Malectin_like
11.1.5.24,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,"AfaD,Saf-Nte_pilin"
207.1.1.13,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Leucine-rich repeats,Leucine-rich repeats,"LRRNT_2,LRR_8"
10.12.1.45,beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,Kdo_hydroxy
101.1.2.177,alpha arrays,HTH,HTH,winged,MARF1_LOTUS
633.16.2.0,alpha bundles,Bromodomain-like,PMT helical bundle domain-like,N-terminal domain of antitoxin HigA,NO_F_NAME
328.8.1.2,a+b two layers,IF3-like,Schlafen 8,Schlafen 8,B3R
101.46.1.1,alpha arrays,HTH,Parafibromin N-terminal domain,Parafibromin N-terminal domain,CDC73_N
4275.1.1.2,alpha arrays,Hypothetical protein YqbG-like,Hypothetical protein YqbG-like,Hypothetical protein YqbG-like,Phage_Mu_Gp36
101.1.1.6,alpha arrays,HTH,HTH,tri-helical,Death
5104.1.1.0,a+b three layers,C-terminal domain in DHH phosphoesterases,C-terminal domain in DHH phosphoesterases,C-terminal domain in DHH phosphoesterases,NO_F_NAME
237.1.1.22,a+b complex topology,ADP-ribosylation,ADP-ribosylation,ADP-ribosylation,SidE_mART
1206.1.1.0,alpha bundles,Effector SdeA helical domain,Effector SdeA helical domain,Effector SdeA helical domain,NO_F_NAME
604.38.1.0,alpha bundles,Spectrin repeat-like,Legionella effector SdeA 3-helical bundle,Legionella effector SdeA 3-helical bundle,NO_F_NAME
192.6.1.0,alpha bundles,Long alpha-hairpin,Epsilon subunit of F1F0-ATP synthase C-terminal domain,Epsilon subunit of F1F0-ATP synthase C-terminal domain,NO_F_NAME
101.1.1.41,alpha arrays,HTH,HTH,tri-helical,GcrA
377.13.1.1,few secondary structure elements,Glucocorticoid receptor-like,Primase zinc finger,Primase zinc finger,GcrA
3932.1.1.2,alpha bundles,CRISPR/Cas system-associated protein Csm6 6H domain,CRISPR/Cas system-associated protein Csm6 6H domain,CRISPR/Cas system-associated protein Csm6 6H domain,Cas_Csm6_6H
109.40.1.1,alpha superhelices,Repetitive alpha hairpins,DNA polymerase alpha-binding protein Ctf4 C-terminal domain,DNA polymerase alpha-binding protein Ctf4 C-terminal domain,Hira
5.1.3.19,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,6-bladed,Hira
2007.1.20.1,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Dehydratase-like,ILVD_EDD
7013.1.1.1,alpha bundles,Ribosome assembly factor Efg1-like,Ribosome assembly factor Efg1-like,Ribosome assembly factor Efg1-like,Efg1
2500.1.1.1,a/b barrels,Ten stranded beta/alpha barrel,Ten stranded beta/alpha barrel,Ten stranded beta/alpha barrel,"Gly_radical,PFL-like"
141.1.1.7,alpha bundles,Terpenoid synthases,Terpenoid synthases,Terpenoid synthases,DUF2600
331.3.1.17,a+b two layers,TBP-like,Bet v1-like,Bet v1-like,VASt
3543.1.1.1,alpha complex topology,Acid-activated urea channel,Acid-activated urea channel,Acid-activated urea channel,Gpr1_Fun34_YaaH
3943.1.1.0,beta sandwiches,Flagellar hook-associated protein 1 beta-sandwich domains,Flagellar hook-associated protein 1 beta-sandwich domains,Flagellar hook-associated protein 1 beta-sandwich domains,NO_F_NAME
601.52.1.1,alpha bundles,Four-helical up-and-down bundle,Flagellar hook-associated protein 1 helical domain,Flagellar hook-associated protein 1 helical domain,Flagellin_N
7079.1.1.1,a+b complex topology,Phage tail fiber assembly protein,Phage tail fiber assembly protein,Phage tail fiber assembly protein,Caudo_TAP
151.1.1.0,alpha bundles,Hemocyanin-N,Hemocyanin-N,Hemocyanin-N,NO_F_NAME
5.1.4.3,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,7-bladed,"WD40,Prp19"
109.4.1.101,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,CENP-I
109.4.1.126,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,NO_F_NAME
387.1.3.5,few secondary structure elements,omega toxin-like,omega toxin-related,Colipase-like,Draxin
4.1.1.10,beta barrels,SH3,SH3,SH3,"PHD,BAH"
268.1.1.0,a+b two layers,Sterol carrier protein-like,"Sterol carrier protein, SCP-related","Sterol carrier protein, SCP-related",NO_F_NAME
7044.1.1.0,alpha bundles,N-terminal domain of Small RNA Degrading Nuclease (SDN),N-terminal domain of Small RNA Degrading Nuclease (SDN),N-terminal domain of Small RNA Degrading Nuclease (SDN),NO_F_NAME
102.1.2.0,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,DNA-glycosylase,NO_F_NAME
11.1.1.22,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Lysyl_oxidase
7041.1.1.1,alpha arrays,N-terminal domain of N-acetylglucosaminyltransferase-V,N-terminal domain of N-acetylglucosaminyltransferase-V,N-terminal domain of N-acetylglucosaminyltransferase-V,Glyco_transf_18
7512.1.1.34,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,Glyco_transf_18
7042.1.1.1,a+b three layers,C-terminal domain of N-acetylglucosaminyltransferase-V,C-terminal domain of N-acetylglucosaminyltransferase-V,C-terminal domain of N-acetylglucosaminyltransferase-V,Glyco_transf_18
101.1.11.3,alpha arrays,HTH,HTH,Ribbon-helix-helix,TCP
207.2.1.14,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,NO_F_NAME
